,category,model,colour,is_duplicate
0,1,A13,1,0
1,1,A16,1,0
2,2,B4,10,0
3,2,B17,6,0
4,2,B8,4,0
5,3,C56,6,0
6,3,C57,5,0
7,4,P67,9,0
8,4,P82,6,0
9,2,B31,9,0
10,2,B21,12,0
11,2,B24,11,0
12,2,B27,2,0
13,1,A10,3,0
14,1,A10,3,1
15,2,B27,2,1
16,4,P1,3,0
17,4,P34,9,0
18,4,P33,9,0
19,2,B17,6,1
20,3,C4,4,0
21,3,C7,13,0
22,3,C10,9,0
23,3,C17,14,0
24,4,P77,7,0
25,1,A34,2,0
26,1,A37,2,0
27,3,C4,4,1
28,3,C25,2,0
29,3,C21,14,0
30,3,C7,13,1
31,3,C15,6,0
32,3,C53,14,0
33,2,B17,6,1
34,2,B26,13,0
35,1,A11,3,0
36,3,C5,11,0
37,4,P60,14,0
38,4,P56,2,0
39,4,P55,14,0
40,4,P48,9,0
41,4,P50,6,0
42,4,P42,6,0
43,4,P23,6,0
44,4,P1,3,1
45,2,B4,10,1
46,3,C49,4,0
47,2,B23,7,0
48,3,C5,11,1
49,3,C19,12,0
50,3,C34,7,0
51,3,C40,14,0
52,3,C50,9,0
53,3,C42,7,0
54,2,B24,11,1
55,1,A18,4,0
56,1,A1,8,0
57,2,B26,13,1
58,1,A1,8,1
59,2,B1,4,0
60,2,B4,10,1
61,2,B16,12,0
62,2,B17,6,1
63,1,A3,3,0
64,2,B4,10,1
65,2,B3,12,0
66,2,B3,12,1
67,2,B30,9,0
68,2,B27,2,1
69,3,C17,14,1
70,4,P16,7,0
71,1,A1,8,1
72,1,A2,3,0
73,1,A5,3,0
74,1,A41,4,0
75,1,A1,8,1
76,1,A2,3,1
77,1,A5,3,1
78,2,B1,4,1
79,2,B2,3,0
80,2,B3,12,1
81,2,B13,12,0
82,2,B15,9,0
83,2,B16,12,1
84,2,B17,6,1
85,2,B9,1,0
86,2,B20,8,0
87,2,B21,12,1
88,2,B23,7,1
89,2,B25,6,0
90,2,B26,13,1
91,2,B33,6,0
92,2,B34,2,0
93,3,C2,12,0
94,3,C5,11,1
95,3,C33,14,0
96,3,C35,9,0
97,3,C55,13,0
98,3,C56,6,1
99,3,C59,5,0
100,4,P61,1,0
101,4,P62,12,0
102,3,C7,13,1
103,3,C57,5,1
104,1,A6,3,0
105,3,C47,13,0
106,2,B26,13,1
107,2,B33,6,1
108,2,B32,6,0
109,1,A17,2,0
110,1,A17,2,1
111,1,A2,3,1
112,1,A1,8,1
113,1,A7,3,0
114,1,A8,3,0
115,1,A9,3,0
116,1,A20,2,0
117,1,A34,2,1
118,1,A32,2,0
119,3,C7,13,1
120,1,A10,3,1
121,3,C11,7,0
122,3,C5,11,1
123,3,C22,11,0
124,4,P12,4,0
125,1,A4,3,0
126,1,A23,6,0
127,4,P1,3,1
128,4,P12,4,1
129,2,B12,2,0
130,2,B10,2,0
131,2,B15,9,1
132,3,C14,9,0
133,3,C5,11,1
134,4,P1,3,1
135,1,A12,2,0
136,1,A10,3,1
137,1,A31,6,0
138,1,A20,2,1
139,1,A15,14,0
140,2,B27,2,1
141,4,P56,2,1
142,2,B1,4,1
143,2,B7,6,0
144,2,B4,10,1
145,2,B32,6,1
146,3,C15,6,1
147,4,P1,3,1
148,2,B17,6,1
149,3,C7,13,1
150,1,A11,3,1
151,1,A10,3,1
152,2,B2,3,1
153,1,A4,3,1
154,3,C2,12,1
155,3,C8,2,0
156,3,C18,9,0
157,1,A6,3,1
158,1,A15,14,1
159,1,A10,3,1
160,3,C7,13,1
161,4,P2,3,0
162,4,P10,4,0
163,1,A11,3,1
164,1,A1,8,1
165,1,A7,3,1
166,2,B7,6,1
167,2,B9,1,1
168,3,C26,14,0
169,3,C19,12,1
170,3,C31,12,0
171,3,C53,14,1
172,1,A15,14,1
173,1,A5,3,1
174,1,A17,2,1
175,1,A35,14,0
176,1,A36,1,0
177,1,A16,1,1
178,2,B4,10,1
179,2,B15,9,1
180,3,C5,11,1
181,3,C17,14,1
182,3,C17,14,1
183,1,A16,1,1
184,2,B4,10,1
185,2,B34,2,1
186,3,C56,6,1
187,3,C49,4,1
188,3,C46,2,0
189,1,A2,3,1
190,1,A12,2,1
191,4,P29,5,0
192,1,A17,2,1
193,1,A7,3,1
194,1,A2,3,1
195,1,A3,3,1
196,4,P1,3,1
197,4,P2,3,1
198,1,A21,1,0
199,1,A41,4,1
200,4,P12,4,1
201,4,P63,14,0
202,4,P48,9,1
203,4,P30,4,0
204,4,P32,3,0
205,4,P66,9,0
206,4,P57,4,0
207,4,P12,4,1
208,2,B3,12,1
209,4,P50,6,1
210,4,P43,7,0
211,4,P12,4,1
212,4,P4,4,0
213,3,C17,14,1
214,2,B1,4,1
215,2,B4,10,1
216,1,A28,1,0
217,1,A21,1,1
218,1,A16,1,1
219,1,A11,3,1
220,4,P16,7,1
221,4,P16,7,1
222,2,B30,9,1
223,2,B28,9,0
224,2,B31,9,1
225,1,A8,3,1
226,1,A1,8,1
227,1,A11,3,1
228,4,P15,4,0
229,4,P16,7,1
230,4,P33,9,1
231,1,A11,3,1
232,1,A5,3,1
233,3,C19,12,1
234,1,A1,8,1
235,1,A2,3,1
236,1,A5,3,1
237,1,A9,3,1
238,1,A12,2,1
239,1,A11,3,1
240,2,B15,9,1
241,2,B33,6,1
242,1,A1,8,1
243,1,A19,12,0
244,1,A5,3,1
245,2,B19,13,0
246,2,B24,11,1
247,2,B26,13,1
248,2,B27,2,1
249,2,B23,7,1
250,2,B17,6,1
251,2,B16,12,1
252,2,B13,12,1
253,2,B14,2,0
254,2,B26,13,1
255,2,B24,11,1
256,2,B6,2,0
257,2,B26,13,1
258,2,B32,6,1
259,2,B26,13,1
260,2,B26,13,1
261,2,B26,13,1
262,2,B26,13,1
263,2,B26,13,1
264,2,B26,13,1
265,2,B26,13,1
266,2,B26,13,1
267,2,B23,7,1
268,1,A5,3,1
269,1,A12,2,1
270,2,B27,2,1
271,2,B3,12,1
272,2,B2,3,1
273,2,B10,2,1
274,2,B14,2,1
275,2,B6,2,1
276,3,C7,13,1
277,3,C19,12,1
278,3,C57,5,1
279,1,A4,3,1
280,1,A15,14,1
281,1,A29,2,0
282,1,A11,3,1
283,2,B1,4,1
284,2,B10,2,1
285,2,B17,6,1
286,4,P1,3,1
287,4,P49,14,0
288,1,A4,3,1
289,4,P4,4,1
290,4,P15,4,1
291,2,B4,10,1
292,2,B16,12,1
293,2,B2,3,1
294,2,B1,4,1
295,2,B9,1,1
296,3,C5,11,1
297,3,C7,13,1
298,3,C3,6,0
299,3,C9,6,0
300,3,C17,14,1
301,3,C18,9,1
302,3,C11,7,1
303,3,C14,9,1
304,3,C34,7,1
305,3,C36,14,0
306,3,C37,2,0
307,3,C39,6,0
308,3,C49,4,1
309,3,C50,9,1
310,3,C51,6,0
311,3,C52,2,0
312,3,C57,5,1
313,3,C18,9,1
314,1,A1,8,1
315,1,A2,3,1
316,1,A3,3,1
317,1,A5,3,1
318,1,A6,3,1
319,1,A7,3,1
320,1,A8,3,1
321,1,A9,3,1
322,1,A10,3,1
323,1,A12,2,1
324,1,A13,1,1
325,1,A15,14,1
326,1,A16,1,1
327,1,A17,2,1
328,1,A31,6,1
329,1,A19,12,1
330,1,A36,1,1
331,1,A42,6,0
332,2,B19,13,1
333,2,B24,11,1
334,2,B29,2,0
335,2,B23,7,1
336,1,A11,3,1
337,1,A1,8,1
338,1,A3,3,1
339,1,A3,3,1
340,1,A13,1,1
341,2,B9,1,1
342,2,B13,12,1
343,2,B12,2,1
344,1,A13,1,1
345,2,B10,2,1
346,2,B11,2,0
347,4,P16,7,1
